"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
34,2367,8968,3065,3065,420,311,1403,1113,32,0.26771411451700533,2,2,0,67,299,14,68,68,8,7,245,14,56,15,1,1270,10,0,124,321,408,478,282,459,577,29,27,5,0,6,119
35,700,2334,828,828,163,122,155,438,0,0.21469576987102695,0,0,0,89,35,89,39,62,5,23,47,4,11,1,0,103,14,2,38,60,111,281,18,164,124,7,0,0,3,1,25
36,5539,19994,7211,7211,1699,954,1467,3779,8,0.9121589997748379,7,0,0,142,449,200,1141,242,27,35,724,90,139,19,3,896,75,27,514,737,1705,1674,820,1591,1653,78,8,0,0,55,245
37,276,891,359,359,10,71,21,274,2,0.15162073698659065,1,0,0,2,6,0,1,65,1,1,6,0,0,4,0,13,0,0,8,0,1,274,0,18,21,0,2,0,0,0,0
38,2556,9505,3292,3292,538,566,634,1990,6,1.1454817495389542,3,3,0,151,292,199,130,159,7,61,390,52,102,11,6,393,26,8,214,473,976,741,736,893,847,61,5,1,1,30,176
39,801,2644,1032,1032,85,313,231,565,2,0.29655087198025293,0,0,0,14,35,1,37,104,5,5,228,6,5,0,2,106,4,9,119,103,116,407,98,181,279,4,0,2,0,3,26
40,5960,21497,7321,7321,551,961,1275,5094,18,0.6751889948159577,0,0,0,45,207,193,318,464,49,44,505,41,187,20,0,1004,36,16,242,524,1315,3447,703,1500,1711,201,11,7,0,37,336
41,9789,36583,12117,12117,2753,1986,3538,5756,12,1.220201141351798,6,5,1,692,1282,454,1100,528,68,253,1425,467,581,81,14,2367,76,54,1116,1503,2959,1889,1942,3092,3126,244,10,2,1,167,1189
42,3117,11169,4172,4172,550,572,1053,2573,5,0.9215653357130865,2,2,0,38,107,32,420,196,77,9,342,43,92,5,1,899,10,4,145,473,1102,1301,599,495,660,29,5,0,0,29,52
43,2321,8644,2228,2228,499,400,746,997,1,0.6818230503930888,4,0,0,124,214,88,270,84,11,11,333,27,33,14,0,603,12,3,131,210,371,523,380,438,485,9,1,0,0,40,230
44,1648,5688,2202,2202,948,260,212,880,1,0.3179232479570327,0,0,0,914,7,6,27,110,121,120,34,1,0,0,2,134,12,2,66,37,196,694,18,416,519,0,0,1,0,8,18
45,1191,3721,1629,1629,7,227,145,1415,0,0.1838100471542165,6,4,0,0,0,0,1,205,0,0,42,0,2,1,0,82,15,1,48,65,298,1120,51,325,372,0,0,0,0,1,0
46,2647,9889,3700,3700,314,468,1433,1739,1,0.5511595204614248,4,0,0,60,100,128,188,189,22,85,203,63,22,11,0,1129,12,2,299,333,403,1141,468,678,940,55,1,0,0,1,86
47,368,1186,471,471,75,141,116,168,0,0.06270719335383633,1,0,0,30,35,1,9,98,0,4,45,0,5,1,0,78,3,0,35,31,41,103,27,63,93,2,0,0,0,2,5
48,1468,4814,1684,1684,129,319,361,1111,0,0.34737621628088794,1,1,0,30,53,11,51,140,5,69,122,25,25,5,0,252,18,17,93,167,273,763,141,478,537,27,0,0,0,13,34
49,506,1602,565,565,122,89,31,365,4,0.23209004272099903,54,31,0,5,59,9,8,82,3,0,11,6,6,1,0,26,2,0,3,27,133,217,19,110,133,1,4,0,0,2,4
50,12146,38762,15605,15605,2577,2476,5810,6995,6,1.5725488694376313,6,1,4,441,742,1228,1568,432,497,491,1705,648,771,45,7,921,42,51,4939,1897,4635,1217,3197,4125,3540,322,6,0,5,107,617
51,450,1301,489,489,0,65,150,289,0,0.16142183255043194,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,150,4,86,215,17,124,127,0,0,0,0,0,4
52,717,1629,872,872,13,82,96,735,0,0.17722748733290924,3,0,0,0,0,0,10,75,1,2,16,1,0,0,0,31,2,1,63,52,125,608,65,86,87,4,0,0,0,2,1
53,317,791,387,387,25,124,59,192,0,0.13542454018644495,1,0,0,19,0,0,5,120,3,0,5,2,0,0,0,14,3,0,42,5,40,156,12,69,75,0,0,0,0,1,0
54,340,718,412,412,5,67,10,371,0,0.1338379326587295,0,0,0,0,0,0,5,61,0,0,8,0,0,0,0,6,0,0,4,24,115,286,32,66,60,0,0,0,0,1,0
55,3583,11322,6006,6006,413,1303,1490,3576,3,1.8102793484682251,2,5,0,166,144,121,117,307,225,679,413,42,58,10,6,379,8,9,1105,497,1446,1936,516,1500,1159,25,2,1,3,13,85
56,1959,6029,2363,2363,55,1224,203,992,0,0.7882052736036291,0,0,0,8,7,3,42,1165,4,58,31,1,2,2,0,101,1,4,107,158,266,662,54,361,340,10,0,0,0,9,5
57,7281,26450,9564,9564,1287,2167,4646,3471,34,1.237781053563409,11,4,5,126,577,403,639,367,394,369,1548,424,633,26,7,1441,31,46,3383,927,1855,985,2771,2401,2370,73,18,16,6,34,471
58,4016,12093,5661,5661,282,1733,1794,2614,0,3.325539864182156,0,0,0,145,21,543,128,375,999,1136,128,4,73,3,0,58,13,6,1727,458,1010,1560,1379,1005,1027,156,0,0,0,43,70
60,2520,7866,2487,2487,314,599,826,947,12,0.38187865256873665,3,0,0,41,84,92,201,128,129,50,344,24,64,15,2,454,21,4,351,243,550,272,367,355,430,21,3,9,2,63,77
61,436,1150,521,521,7,131,47,407,0,0.2466902782249664,1,0,0,0,1,0,5,123,3,5,11,2,3,0,0,36,7,0,4,19,72,378,18,47,64,0,0,0,0,0,2
62,335,907,430,430,9,134,53,267,2,0.0991635668443155,2,0,0,0,0,153,7,131,0,0,3,3,0,0,0,39,4,0,10,16,54,217,21,114,100,1,0,2,0,1,1
63,3739,12494,4761,4761,65,310,3506,1151,0,1.457148628547993,0,0,0,4,26,619,46,152,26,5,190,25,16,0,0,114,11,2,3384,132,448,768,505,1290,1426,28,0,0,0,16,67
64,3220,8921,3705,3705,240,836,608,2431,7,1.0298904507890267,1,0,1,82,58,320,110,619,13,75,165,10,10,5,3,353,12,11,247,348,1186,1172,410,770,816,37,5,2,0,43,82
65,4441,12647,5376,5376,201,3417,366,1637,2,1.0944825943472092,2,7,0,65,66,1021,85,3173,18,105,155,46,568,2,1,60,18,6,290,318,553,963,1123,889,1050,89,2,0,0,58,122
66,2271,6643,2770,2770,136,416,479,1921,3,0.8760666190153896,3,2,0,10,35,180,91,332,1,8,111,17,24,3,0,260,22,11,199,260,820,1068,513,509,559,26,3,0,0,32,38
67,3801,14797,4808,4808,469,984,1573,2444,1,0.6757222062161384,9,3,7,64,222,182,191,434,203,279,298,78,167,9,3,1060,31,16,485,458,983,1379,795,909,909,112,1,0,0,48,144
70,307,1057,295,295,5,91,74,145,0,0.057974888029856085,0,0,0,0,3,2,2,65,7,12,16,0,0,0,0,70,0,0,4,22,38,101,30,28,43,0,0,0,0,0,5
71,682,2236,741,741,18,35,37,666,0,0.15795094354905753,0,0,0,0,0,18,18,35,0,0,0,2,5,2,0,23,0,2,14,35,308,337,101,127,152,15,0,0,0,4,2
72,716,2417,834,834,26,131,98,673,0,0.1397321967107644,0,0,0,7,14,79,7,114,9,7,19,2,6,6,1,31,8,2,60,118,299,314,48,88,133,72,0,0,1,61,11
73,1726,5687,1246,1246,250,141,176,856,5,0.258361498745516,1,1,0,75,20,104,160,107,0,0,49,66,51,2,2,113,10,9,52,135,535,293,464,169,250,61,2,3,2,60,20
74,10,39,7,7,0,0,5,2,0,0.0022932924472051316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
75,187,533,220,220,0,0,17,203,0,0.18126539725959678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,22,197,52,3,16,0,0,0,0,0,0
76,844,2454,704,704,80,150,78,481,0,0.23717758671805514,0,0,0,7,38,208,39,79,9,35,55,12,9,0,3,12,11,3,52,65,293,186,110,139,170,8,0,0,0,13,8
77,527,1417,334,334,47,42,93,174,1,0.11276926193530962,1,0,0,9,2,1,36,29,1,1,15,2,29,1,0,8,0,0,87,15,36,144,86,52,89,8,0,1,0,10,4
80,12300,36937,9179,9179,2365,3326,1560,3889,24,1.0466290994588405,8,9,0,499,629,1870,1318,463,310,417,2699,297,849,67,9,830,19,79,722,1095,2670,470,3621,1600,3184,707,22,2,0,528,678
81,10264,36524,6594,6594,1052,2231,1372,3647,28,2.265730228978257,2,1,0,197,433,1370,544,377,235,481,1674,166,583,16,9,897,34,88,465,1086,1391,1757,3279,507,2367,312,22,6,7,415,361
82,262,731,220,220,7,62,32,137,1,0.14098316532839467,0,0,0,6,7,10,0,50,1,2,16,1,5,1,0,20,1,0,11,13,42,93,3,3,39,0,0,1,0,2,0
83,3669,8181,1025,1025,418,201,37,467,0,0.5722484619077925,0,0,0,7,4,16,410,57,39,62,151,44,10,0,0,22,0,1,15,44,255,205,478,19,64,13,0,0,0,7,43
84,7812,23465,4112,4112,674,1512,579,2228,4,0.7380537422304229,0,4,0,62,206,627,442,354,93,122,1207,210,217,34,10,291,23,25,258,431,695,1447,1806,547,1252,334,1,3,0,239,290
85,1640,4489,765,765,157,140,156,365,0,0.6505323310316677,0,3,0,3,8,57,147,24,6,6,114,6,15,0,0,134,5,2,17,60,226,108,207,31,119,15,0,0,0,28,1
86,1239,3952,679,679,99,175,140,333,4,0.24595122269271313,0,0,0,6,13,105,85,71,22,45,81,27,16,1,1,69,11,6,64,87,158,121,318,115,184,29,1,3,0,54,54
90,4795,14307,3800,3800,251,1079,385,2472,5,0.5004299747019478,3,0,0,11,43,334,199,171,17,10,928,105,173,7,0,145,11,13,229,517,1660,464,1194,479,1083,83,5,0,0,85,41
91,2528,9085,3415,3415,142,681,722,2114,0,1.52000712155606,0,0,0,5,8,406,131,450,145,195,51,1,11,1,3,505,7,5,210,371,1493,405,301,174,1326,11,0,0,0,16,10
92,1327,4476,1568,1568,66,254,294,1095,0,0.4001316759852094,5,0,0,5,18,89,38,194,12,13,82,5,19,4,2,162,1,7,130,138,297,828,647,170,385,60,0,0,2,28,34
93,4375,13136,3938,3938,604,722,486,2650,8,1.0817611445021922,5,0,0,78,106,203,436,85,12,72,594,42,157,13,1,216,14,8,259,578,1488,834,860,725,1155,181,8,0,2,235,274
94,3482,14718,4945,4945,391,349,1262,3387,0,1.0231824803019267,20,3,33,23,26,99,327,225,9,18,124,7,35,2,0,897,11,14,372,563,1271,1773,1057,42,1433,3,0,0,0,11,35
95,7092,26523,7770,7770,937,2197,2715,3326,12,2.4129535545259184,1,0,13,82,286,372,602,558,39,129,1583,159,638,31,13,955,16,70,1772,1111,1644,944,1991,143,2604,21,8,4,0,159,319
96,1001,3981,1606,1606,30,349,340,1062,0,0.3078887382888211,0,0,16,11,3,0,16,324,0,0,39,0,4,0,2,147,6,0,193,46,132,921,256,8,334,0,0,0,0,0,0
